2025-01-13 19:11:43,102 - INFO - Validation Loss: 3.5384, Validation Accuracy: 51.08%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:12:03,019 - INFO - Validation Loss: 3.2829, Validation Accuracy: 49.46%, Precision: 0.48, Recall: 0.49, F1: 0.49
2025-01-13 19:12:23,287 - INFO - Validation Loss: 3.6731, Validation Accuracy: 52.44%, Precision: 0.49, Recall: 0.52, F1: 0.50
2025-01-13 19:12:43,024 - INFO - Validation Loss: 3.7497, Validation Accuracy: 50.27%, Precision: 0.46, Recall: 0.50, F1: 0.48
2025-01-13 19:13:02,868 - INFO - Validation Loss: 3.1811, Validation Accuracy: 51.44%, Precision: 0.49, Recall: 0.51, F1: 0.50
2025-01-13 19:13:22,591 - INFO - Validation Loss: 3.4630, Validation Accuracy: 49.46%, Precision: 0.47, Recall: 0.49, F1: 0.48
2025-01-13 19:13:42,234 - INFO - Validation Loss: 3.2565, Validation Accuracy: 50.45%, Precision: 0.48, Recall: 0.50, F1: 0.49
2025-01-13 19:14:02,007 - INFO - Validation Loss: 3.4535, Validation Accuracy: 50.27%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:14:21,573 - INFO - Validation Loss: 3.1600, Validation Accuracy: 51.53%, Precision: 0.51, Recall: 0.52, F1: 0.51
2025-01-13 19:14:41,144 - INFO - Validation Loss: 3.8652, Validation Accuracy: 51.17%, Precision: 0.48, Recall: 0.51, F1: 0.49
2025-01-13 19:15:00,912 - INFO - Validation Loss: 3.3406, Validation Accuracy: 52.08%, Precision: 0.49, Recall: 0.52, F1: 0.50
2025-01-13 19:15:20,524 - INFO - Validation Loss: 3.3041, Validation Accuracy: 51.17%, Precision: 0.49, Recall: 0.51, F1: 0.50
2025-01-13 19:15:40,033 - INFO - Validation Loss: 3.2146, Validation Accuracy: 48.74%, Precision: 0.46, Recall: 0.49, F1: 0.47
2025-01-13 19:15:59,748 - INFO - Validation Loss: 3.3915, Validation Accuracy: 50.72%, Precision: 0.48, Recall: 0.51, F1: 0.48
2025-01-13 19:16:19,525 - INFO - Validation Loss: 2.8532, Validation Accuracy: 42.15%, Precision: 0.44, Recall: 0.42, F1: 0.42
2025-01-13 19:16:38,996 - INFO - Validation Loss: 2.2284, Validation Accuracy: 50.09%, Precision: 0.47, Recall: 0.50, F1: 0.48
2025-01-13 19:16:58,669 - INFO - Validation Loss: 2.2393, Validation Accuracy: 51.90%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:17:18,071 - INFO - Validation Loss: 2.5574, Validation Accuracy: 52.26%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:17:37,804 - INFO - Validation Loss: 2.0940, Validation Accuracy: 53.88%, Precision: 0.49, Recall: 0.54, F1: 0.50
2025-01-13 19:17:57,847 - INFO - Validation Loss: 2.6244, Validation Accuracy: 49.64%, Precision: 0.46, Recall: 0.50, F1: 0.47
2025-01-13 19:18:17,425 - INFO - Validation Loss: 2.4200, Validation Accuracy: 50.36%, Precision: 0.46, Recall: 0.50, F1: 0.48
2025-01-13 19:18:36,563 - INFO - Validation Loss: 1.5648, Validation Accuracy: 56.59%, Precision: 0.53, Recall: 0.57, F1: 0.53
2025-01-13 19:18:55,578 - INFO - Validation Loss: 1.8908, Validation Accuracy: 54.06%, Precision: 0.51, Recall: 0.54, F1: 0.52
2025-01-13 19:19:14,720 - INFO - Validation Loss: 2.2099, Validation Accuracy: 52.26%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:19:34,289 - INFO - Validation Loss: 1.8659, Validation Accuracy: 52.44%, Precision: 0.48, Recall: 0.52, F1: 0.49
2025-01-13 19:19:53,635 - INFO - Validation Loss: 1.7039, Validation Accuracy: 49.64%, Precision: 0.42, Recall: 0.50, F1: 0.43
2025-01-13 19:20:13,028 - INFO - Validation Loss: 2.0243, Validation Accuracy: 50.90%, Precision: 0.46, Recall: 0.51, F1: 0.48
2025-01-13 19:20:32,606 - INFO - Validation Loss: 2.1453, Validation Accuracy: 49.82%, Precision: 0.46, Recall: 0.50, F1: 0.48
